id,family,intent,user_language,likely_search_rewrite,target_url
1,oxygen-general,best-overall,which oxygen machine is best for home,best oxygen concentrator for home use India,/guides/oxygen-concentrators-buyers-guide-india/
2,oxygen-general,best-overall,best oxygen machine in India,best oxygen concentrator in India 2026,/guides/oxygen-concentrators-buyers-guide-india/
3,oxygen-general,recommendation,which concentrator should I buy,oxygen concentrator buying guide India,/guides/oxygen-concentrators-buyers-guide-india/
4,oxygen-general,reliability,most reliable home oxygen machine,most reliable oxygen concentrator India home use,/oxygen-concentrators/brands/
5,oxygen-general,comparison,top oxygen machines for patients,top 5 oxygen concentrators India,/top-5/5-lpm-oxygen-concentrators/
6,oxygen-general,home-use,oxygen concentrator for patient at home,home oxygen concentrator India continuous flow,/guides/oxygen-concentrators-buyers-guide-india/
7,oxygen-general,selection,how to choose oxygen machine,how to choose oxygen concentrator flow purity service India,/guides/oxygen-concentrators-buyers-guide-india/
8,oxygen-general,continuous-flow,best continuous oxygen machine,best continuous flow oxygen concentrator India,/top-5/5-lpm-oxygen-concentrators/
9,oxygen-general,medical-grade,best medical oxygen concentrator,medical grade oxygen concentrator 93 percent purity India,/guides/oxygen-concentrators-buyers-guide-india/
10,oxygen-general,current-year,best concentrator 2026,best oxygen concentrator India 2026 current models,/guides/oxygen-concentrators-buyers-guide-india/
11,oxygen-flow,5-litre,best 5 litre oxygen concentrator,best 5 LPM oxygen concentrator India,/top-5/5-lpm-oxygen-concentrators/
12,oxygen-flow,5-lpm,top five lpm concentrator,top 5 LPM oxygen concentrators India 2026,/top-5/5-lpm-oxygen-concentrators/
13,oxygen-flow,10-litre,best 10 litre oxygen concentrator,best 10 LPM oxygen concentrator India,/top-5/10-lpm-oxygen-concentrators/
14,oxygen-flow,high-flow,best high flow home oxygen machine,10 LPM high flow oxygen concentrator India,/oxygen-concentrators/10-lpm/
15,oxygen-flow,choice,do I need 5 or 10 litre concentrator,5 LPM vs 10 LPM oxygen concentrator,/guides/5-lpm-vs-10-lpm/
16,oxygen-flow,two-patient,oxygen machine for two patients,dual flow 10 LPM oxygen concentrator India,/oxygen-concentrators/dual-flow/
17,oxygen-flow,low-flow,concentrator that starts at half litre,oxygen concentrator 0.5 LPM low flow India,/oxygen-concentrators/5-lpm/
18,oxygen-flow,purity,which concentrator maintains purity at full flow,oxygen concentrator purity at 5 LPM comparison India,/guides/5-lpm-oxygen-concentrator-spec-comparison-india/
19,oxygen-flow,spec-comparison,compare 5 litre concentrator specifications,5 LPM oxygen concentrator spec comparison India,/guides/5-lpm-oxygen-concentrator-spec-comparison-india/
20,oxygen-flow,10l-specs,compare 10 litre concentrator specifications,10 LPM oxygen concentrator spec comparison India,/guides/10-lpm-oxygen-concentrator-spec-comparison-india/
21,oxygen-use-case,copd,best oxygen machine for COPD,best oxygen concentrator for COPD home use India,/top-5/oxygen-concentrators-for-copd/
22,oxygen-use-case,copd-home,which concentrator for COPD patient at home,oxygen concentrator for COPD patient at home India,/guides/oxygen-concentrator-for-copd-patient-india/
23,oxygen-use-case,ild,best oxygen machine for lung fibrosis,best oxygen concentrator for ILD pulmonary fibrosis India,/guides/best-oxygen-concentrator-ild-patients-india/
24,oxygen-use-case,elderly,best oxygen machine for elderly,best oxygen concentrator for elderly home use India,/top-5/oxygen-concentrators-for-senior-care/
25,oxygen-use-case,night-use,quiet oxygen machine for sleeping,best oxygen concentrator for night use India,/guides/oxygen-concentrator-for-night-use-india/
26,oxygen-use-case,continuous-duty,oxygen machine for all day use,best oxygen concentrator for 24 7 home use India,/guides/best-oxygen-concentrator-24-7-home-use-india/
27,oxygen-use-case,hospital,best concentrator for nursing home,best oxygen concentrator hospital nursing home India,/guides/best-oxygen-concentrator-hospital-nursing-home-india/
28,oxygen-use-case,high-altitude,best concentrator for hill station,best oxygen concentrator high altitude India,/guides/hill-station-oxygen-therapy-altitude-derating/
29,oxygen-use-case,nebulizer,oxygen machine with nebulizer,best oxygen concentrator with nebulizer India,/guides/oxygen-concentrator-with-nebulizer-india/
30,oxygen-use-case,purity-display,concentrator showing oxygen percentage,oxygen concentrator with live purity display India,/guides/oxygen-concentrator-with-purity-display-india/
31,oxygen-price,budget-30k,best oxygen machine below 30000,best oxygen concentrator under 30000 India,/guides/best-oxygen-concentrator-under-30000-india/
32,oxygen-price,budget-40k,best oxygen machine below 40000,best oxygen concentrator under 40000 India,/top-5/oxygen-concentrators-under-40000/
33,oxygen-price,price,oxygen machine price for home,oxygen concentrator price in India home use,/oxygen-concentrators/price-india/
34,oxygen-price,5l-price,price of 5 litre oxygen machine,5 LPM oxygen concentrator price India,/oxygen-concentrators/price-india/
35,oxygen-price,10l-price,price of 10 litre oxygen machine,10 LPM oxygen concentrator price India,/oxygen-concentrators/price-india/
36,oxygen-price,portable-price,portable oxygen machine cost,portable oxygen concentrator price India,/oxygen-concentrators/price-india/
37,oxygen-price,value,best value oxygen machine,best value oxygen concentrator India price warranty service,/guides/oxygen-concentrators-buyers-guide-india/
38,oxygen-price,electricity,concentrator with lowest power bill,most energy efficient oxygen concentrator India,/guides/most-energy-efficient-oxygen-concentrators-india/
39,oxygen-price,running-cost,oxygen machine electricity cost,oxygen concentrator power consumption cost India,/clinical/oxygen-concentrator-electricity-cost-by-state/
40,oxygen-price,buying-channel,is online oxygen machine cheaper,hospital dealer vs online oxygen concentrator India,/guides/hospital-channel-vs-online-channel-respiratory-equipment/
41,oxygen-rental,rent,oxygen machine on rent,oxygen concentrator rental India monthly price,/oxygen-concentrators/rental/
42,oxygen-rental,rent-vs-buy,should I rent or buy oxygen machine,oxygen concentrator rent vs buy India,/oxygen-concentrators/rental/
43,oxygen-rental,short-term,oxygen machine rental for one month,5 LPM oxygen concentrator one month rent India,/oxygen-concentrators/rental/
44,oxygen-service,near-me,oxygen concentrator service near me,oxygen concentrator service centre near me India,/guides/oxygen-concentrator-service-centre-near-me-india/
45,oxygen-service,dealer,where to buy oxygen machine nearby,oxygen concentrator dealer near me India,/guides/oxygen-concentrator-dealer-near-me-india/
46,oxygen-service,network,which oxygen brand has best service,best oxygen concentrator service network India,/guides/oxygen-concentrator-service-network-india/
47,oxygen-service,repair,oxygen machine repair price,oxygen concentrator repair cost India,/guides/oxygen-concentrator-repair-cost-india/
48,oxygen-service,compressor,oxygen machine compressor replacement,oxygen concentrator compressor replacement cost India,/guides/oxygen-concentrator-compressor-replacement-cost-india/
49,oxygen-service,sieve-bed,concentrator sieve replacement price,oxygen concentrator sieve bed replacement cost India,/guides/oxygen-concentrator-sieve-bed-replacement-cost-india/
50,oxygen-service,warranty,how to check oxygen machine warranty,oxygen concentrator serial number warranty check India,/guides/oxygen-concentrator-warranty-serial-number-check-india/
51,oxygen-brands,best-brand,best oxygen concentrator company,best oxygen concentrator brands India,/oxygen-concentrators/brands/
52,oxygen-brands,indian-brand,best Indian oxygen machine brand,best Indian oxygen concentrator manufacturers CDSCO,/top-5/indian-made-oxygen-concentrators/
53,oxygen-brands,home-medix,Home Medix oxygen machine review,Home Medix HM KV review India,/oxygen-concentrators/home-medix-5-lpm/
